42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:07:46.0 (97337)|USER_INFO|[EXTERNAL]|005N00000057PfO|thomas.remy+kddi_gwdev01@globalway.co.jp|Japan Standard Time|GMT+09:00
12:07:46.0 (146201)|EXECUTION_STARTED
12:07:46.0 (151947)|CODE_UNIT_STARTED|[EXTERNAL]|066N0000000M4pW|VF: /apex/sadailyreport
12:07:46.0 (341959)|VF_DESERIALIZE_VIEWSTATE_BEGIN|066N0000000M4pW
12:07:46.0 (4057635)|HEAP_ALLOCATE|[72]|Bytes:3
12:07:46.0 (4109543)|HEAP_ALLOCATE|[77]|Bytes:152
12:07:46.0 (4127431)|HEAP_ALLOCATE|[342]|Bytes:408
12:07:46.0 (4143211)|HEAP_ALLOCATE|[355]|Bytes:408
12:07:46.0 (4157583)|HEAP_ALLOCATE|[467]|Bytes:48
12:07:46.0 (4183453)|HEAP_ALLOCATE|[139]|Bytes:6
12:07:46.0 (5132184)|HEAP_ALLOCATE|[50]|Bytes:5
12:07:46.0 (5164617)|HEAP_ALLOCATE|[56]|Bytes:5
12:07:46.0 (5174487)|HEAP_ALLOCATE|[64]|Bytes:7
12:07:46.0 (6467459)|VARIABLE_SCOPE_BEGIN|[3]|saDailyReportCtrl.SOURCE|String|false|true
12:07:46.0 (6480968)|VARIABLE_SCOPE_BEGIN|[4]|saDailyReportCtrl.SOURCE_ID|String|false|true
12:07:46.0 (7568479)|VARIABLE_SCOPE_BEGIN|[25]|auMainTopCompCtrl.TYPE_SCREEN_ACCOUNT_LIST|Integer|false|true
12:07:46.0 (7583250)|VARIABLE_SCOPE_BEGIN|[26]|auMainTopCompCtrl.TYPE_SCREEN_ACTIVITY_LIST|Integer|false|true
12:07:46.0 (7590157)|VARIABLE_SCOPE_BEGIN|[7]|auMainTopCompCtrl.TYPE_SCREEN_CX_SCREEN|Integer|false|true
12:07:46.0 (7595971)|VARIABLE_SCOPE_BEGIN|[8]|auMainTopCompCtrl.TYPE_SCREEN_CX_TIMELINE|Integer|false|true
12:07:46.0 (7603357)|VARIABLE_SCOPE_BEGIN|[9]|auMainTopCompCtrl.TYPE_SCREEN_EVENT_SCHEDULE|Integer|false|true
12:07:46.0 (7608737)|VARIABLE_SCOPE_BEGIN|[10]|auMainTopCompCtrl.TYPE_SCREEN_EVENT_SCHEDULE_LIST|Integer|false|true
12:07:46.0 (7615434)|VARIABLE_SCOPE_BEGIN|[27]|auMainTopCompCtrl.TYPE_SCREEN_FILE_LIST|Integer|false|true
12:07:46.0 (7623008)|VARIABLE_SCOPE_BEGIN|[24]|auMainTopCompCtrl.TYPE_SCREEN_HONBU_DIRECT|Integer|false|true
12:07:46.0 (7628989)|VARIABLE_SCOPE_BEGIN|[11]|auMainTopCompCtrl.TYPE_SCREEN_KNOWLEDGE_DASHBOARD|Integer|false|true
12:07:46.0 (7635594)|VARIABLE_SCOPE_BEGIN|[12]|auMainTopCompCtrl.TYPE_SCREEN_KNOWLEDGE_LIST|Integer|false|true
12:07:46.0 (7643142)|VARIABLE_SCOPE_BEGIN|[15]|auMainTopCompCtrl.TYPE_SCREEN_SA_CHATTER|Integer|false|true
12:07:46.0 (7648728)|VARIABLE_SCOPE_BEGIN|[16]|auMainTopCompCtrl.TYPE_SCREEN_SA_DAILYREPORT|Integer|false|true
12:07:46.0 (7654092)|VARIABLE_SCOPE_BEGIN|[22]|auMainTopCompCtrl.TYPE_SCREEN_SA_DAILYREPORTLIST|Integer|false|true
12:07:46.0 (7662009)|VARIABLE_SCOPE_BEGIN|[18]|auMainTopCompCtrl.TYPE_SCREEN_SA_DOCUMENTS|Integer|false|true
12:07:46.0 (7667605)|VARIABLE_SCOPE_BEGIN|[17]|auMainTopCompCtrl.TYPE_SCREEN_SA_ENQUETE|Integer|false|true
12:07:46.0 (7675697)|VARIABLE_SCOPE_BEGIN|[20]|auMainTopCompCtrl.TYPE_SCREEN_SA_LINKS|Integer|false|true
12:07:46.0 (7682062)|VARIABLE_SCOPE_BEGIN|[13]|auMainTopCompCtrl.TYPE_SCREEN_SA_MESSAGES|Integer|false|true
12:07:46.0 (7688257)|VARIABLE_SCOPE_BEGIN|[19]|auMainTopCompCtrl.TYPE_SCREEN_SA_RANKING|Integer|false|true
12:07:46.0 (7696092)|VARIABLE_SCOPE_BEGIN|[14]|auMainTopCompCtrl.TYPE_SCREEN_SA_REPORTS|Integer|false|true
12:07:46.0 (7701752)|VARIABLE_SCOPE_BEGIN|[23]|auMainTopCompCtrl.TYPE_SCREEN_SA_TODO|Integer|false|true
12:07:46.0 (7709969)|VARIABLE_SCOPE_BEGIN|[21]|auMainTopCompCtrl.TYPE_SCREEN_SA_USRSETTINGS|Integer|false|true
12:07:46.0 (7716221)|VARIABLE_SCOPE_BEGIN|[4]|auMainTopCompCtrl.TYPE_SCREEN_STPD_EVENT|Integer|false|true
12:07:46.0 (7722401)|VARIABLE_SCOPE_BEGIN|[6]|auMainTopCompCtrl.TYPE_SCREEN_STPD_SCREEN|Integer|false|true
12:07:46.0 (7729906)|VARIABLE_SCOPE_BEGIN|[5]|auMainTopCompCtrl.TYPE_SCREEN_STPD_TIMELINE|Integer|false|true
12:07:46.0 (7735717)|VARIABLE_SCOPE_BEGIN|[3]|auMainTopCompCtrl.TYPE_SCREEN_SWITCH|Integer|false|true
12:07:46.0 (8912347)|VF_DESERIALIZE_VIEWSTATE_END
12:07:46.0 (11512072)|SYSTEM_MODE_ENTER|true
12:07:46.0 (11765835)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:284
12:07:46.0 (11783286)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:156
12:07:46.0 (11797848)|METHOD_ENTRY|[1]|01pN0000000Mill|auMainTopCompCtrl.auMainTopCompCtrl()
12:07:46.0 (11804838)|STATEMENT_EXECUTE|[1]
12:07:46.0 (11811799)|STATEMENT_EXECUTE|[1]
12:07:46.0 (11818309)|STATEMENT_EXECUTE|[3]
12:07:46.0 (11826494)|HEAP_ALLOCATE|[3]|Bytes:4
12:07:46.0 (11855966)|VARIABLE_ASSIGNMENT|[3]|auMainTopCompCtrl.TYPE_SCREEN_SWITCH|0
12:07:46.0 (11861735)|STATEMENT_EXECUTE|[4]
12:07:46.0 (11865102)|HEAP_ALLOCATE|[4]|Bytes:4
12:07:46.0 (11873615)|VARIABLE_ASSIGNMENT|[4]|auMainTopCompCtrl.TYPE_SCREEN_STPD_EVENT|11
12:07:46.0 (11877987)|STATEMENT_EXECUTE|[5]
12:07:46.0 (11880993)|HEAP_ALLOCATE|[5]|Bytes:4
12:07:46.0 (11890234)|VARIABLE_ASSIGNMENT|[5]|auMainTopCompCtrl.TYPE_SCREEN_STPD_TIMELINE|12
12:07:46.0 (11894465)|STATEMENT_EXECUTE|[6]
12:07:46.0 (11896849)|HEAP_ALLOCATE|[6]|Bytes:4
12:07:46.0 (11903345)|VARIABLE_ASSIGNMENT|[6]|auMainTopCompCtrl.TYPE_SCREEN_STPD_SCREEN|13
12:07:46.0 (11907343)|STATEMENT_EXECUTE|[7]
12:07:46.0 (11909575)|HEAP_ALLOCATE|[7]|Bytes:4
12:07:46.0 (11915171)|VARIABLE_ASSIGNMENT|[7]|auMainTopCompCtrl.TYPE_SCREEN_CX_SCREEN|21
12:07:46.0 (11920425)|STATEMENT_EXECUTE|[8]
12:07:46.0 (11922629)|HEAP_ALLOCATE|[8]|Bytes:4
12:07:46.0 (11928433)|VARIABLE_ASSIGNMENT|[8]|auMainTopCompCtrl.TYPE_SCREEN_CX_TIMELINE|22
12:07:46.0 (11932573)|STATEMENT_EXECUTE|[9]
12:07:46.0 (11934762)|HEAP_ALLOCATE|[9]|Bytes:4
12:07:46.0 (11939917)|VARIABLE_ASSIGNMENT|[9]|auMainTopCompCtrl.TYPE_SCREEN_EVENT_SCHEDULE|31
12:07:46.0 (11943526)|STATEMENT_EXECUTE|[10]
12:07:46.0 (11945687)|HEAP_ALLOCATE|[10]|Bytes:4
12:07:46.0 (11953256)|VARIABLE_ASSIGNMENT|[10]|auMainTopCompCtrl.TYPE_SCREEN_EVENT_SCHEDULE_LIST|32
12:07:46.0 (11963838)|STATEMENT_EXECUTE|[11]
12:07:46.0 (11966328)|HEAP_ALLOCATE|[11]|Bytes:4
12:07:46.0 (11973330)|VARIABLE_ASSIGNMENT|[11]|auMainTopCompCtrl.TYPE_SCREEN_KNOWLEDGE_DASHBOARD|41
12:07:46.0 (11977053)|STATEMENT_EXECUTE|[12]
12:07:46.0 (11978965)|HEAP_ALLOCATE|[12]|Bytes:4
12:07:46.0 (11984662)|VARIABLE_ASSIGNMENT|[12]|auMainTopCompCtrl.TYPE_SCREEN_KNOWLEDGE_LIST|42
12:07:46.0 (11988370)|STATEMENT_EXECUTE|[13]
12:07:46.0 (11992006)|HEAP_ALLOCATE|[13]|Bytes:4
12:07:46.0 (11998782)|VARIABLE_ASSIGNMENT|[13]|auMainTopCompCtrl.TYPE_SCREEN_SA_MESSAGES|51
12:07:46.0 (12002750)|STATEMENT_EXECUTE|[14]
12:07:46.0 (12005394)|HEAP_ALLOCATE|[14]|Bytes:4
12:07:46.0 (12011145)|VARIABLE_ASSIGNMENT|[14]|auMainTopCompCtrl.TYPE_SCREEN_SA_REPORTS|52
12:07:46.0 (12015157)|STATEMENT_EXECUTE|[15]
12:07:46.0 (12017014)|HEAP_ALLOCATE|[15]|Bytes:4
12:07:46.0 (12024976)|VARIABLE_ASSIGNMENT|[15]|auMainTopCompCtrl.TYPE_SCREEN_SA_CHATTER|53
12:07:46.0 (12028933)|STATEMENT_EXECUTE|[16]
12:07:46.0 (12031723)|HEAP_ALLOCATE|[16]|Bytes:4
12:07:46.0 (12037992)|VARIABLE_ASSIGNMENT|[16]|auMainTopCompCtrl.TYPE_SCREEN_SA_DAILYREPORT|54
12:07:46.0 (12042484)|STATEMENT_EXECUTE|[17]
12:07:46.0 (12044444)|HEAP_ALLOCATE|[17]|Bytes:4
12:07:46.0 (12050326)|VARIABLE_ASSIGNMENT|[17]|auMainTopCompCtrl.TYPE_SCREEN_SA_ENQUETE|55
12:07:46.0 (12056791)|STATEMENT_EXECUTE|[18]
12:07:46.0 (12059023)|HEAP_ALLOCATE|[18]|Bytes:4
12:07:46.0 (12065709)|VARIABLE_ASSIGNMENT|[18]|auMainTopCompCtrl.TYPE_SCREEN_SA_DOCUMENTS|56
12:07:46.0 (12069771)|STATEMENT_EXECUTE|[19]
